# source, target, weight
2,10,2
2,39,1
2,53,4
2,65,1
2,118,4
2,143,2
6,8,4
6,19,4
6,74,4
6,80,3
6,93,3
6,172,3
6,239,3
6,246,3
6,250,4
6,254,4
7,211,4
8,6,2
8,74,3
8,250,3
10,118,4
10,124,4
10,143,4
10,154,4
10,171,4
16,19,4
16,30,4
16,51,1
16,88,1
16,201,2
19,16,4
19,30,3
19,176,2
24,218,3
26,224,4
26,249,4
30,16,4
30,201,2
33,51,4
33,80,4
33,93,4
33,139,4
33,176,4
33,181,1
33,250,4
34,45,4
34,88,4
34,116,4
34,176,4
37,44,2
37,91,2
37,132,2
37,147,4
39,109,4
39,200,3
39,295,2
44,37,1
44,46,4
44,91,2
44,147,3
45,34,3
45,88,3
45,176,3
46,44,4
47,168,1
47,169,2
47,224,1
47,284,1
51,33,1
51,139,4
51,181,2
52,24,2
52,46,3
52,142,1
52,148,1
52,177,4
52,218,2
52,279,1
53,2,4
53,10,2
53,39,1
53,143,2
55,56,4
55,184,2
55,227,4
55,235,4
55,258,4
55,311,1
56,163,1
56,227,1
57,75,4
57,163,4
57,214,4
57,215,4
59,107,4
59,183,3
60,109,4
60,180,1
60,241,2
63,118,4
63,149,4
63,154,4
65,142,4
65,143,3
65,249,2
65,256,3
65,279,4
74,6,4
74,8,4
74,159,3
74,201,4
74,234,4
74,250,4
75,95,4
75,199,2
79,34,4
79,45,2
79,74,4
79,88,4
79,116,2
79,167,3
79,234,4
79,254,3
80,93,4
80,167,4
80,176,4
80,254,4
88,34,4
88,45,3
88,116,3
88,176,3
91,37,3
91,147,3
93,33,4
93,80,4
93,139,4
93,167,4
93,172,4
93,246,4
95,75,4
95,184,2
95,226,4
95,260,4
95,300,3
95,316,2
101,46,4
101,111,4
105,132,4
105,180,4
105,200,4
107,10,3
107,59,4
107,143,3
107,185,4
109,39,4
109,134,2
111,101,4
111,218,2
116,34,3
116,45,4
116,88,3
116,167,4
116,176,3
116,254,4
118,10,2
118,280,2
124,10,4
124,118,4
124,134,1
124,171,4
132,37,3
132,105,4
132,107,3
132,147,3
132,218,3
134,109,2
134,149,3
134,154,2
134,171,4
139,16,2
139,30,2
139,33,3
139,51,4
139,181,4
142,52,1
142,65,4
142,143,2
142,148,1
142,177,1
142,256,3
142,279,4
142,288,2
143,2,3
143,10,2
143,26,3
143,53,3
143,107,2
143,149,3
143,154,3
143,249,2
147,37,4
147,44,3
147,46,1
147,91,3
147,132,2
148,52,1
148,91,3
148,142,1
148,177,4
148,275,3
148,279,2
149,124,3
149,134,3
149,154,4
149,171,3
154,118,4
154,134,3
154,143,3
154,149,4
154,171,3
154,185,4
159,8,4
159,34,1
159,51,4
159,74,2
159,79,1
159,80,1
159,139,3
159,181,4
159,234,3
159,250,2
159,254,1
163,214,1
163,262,1
167,45,4
167,79,4
167,80,2
167,93,2
167,116,1
167,139,4
167,201,4
167,254,4
168,26,1
168,47,3
168,109,1
168,134,2
168,169,4
168,171,2
168,224,4
168,249,1
168,284,4
169,47,2
169,168,4
169,224,4
171,134,4
171,149,3
171,154,3
172,8,1
172,239,4
172,246,4
176,19,4
177,52,4
177,142,1
177,148,4
177,279,1
180,39,3
180,60,1
180,105,4
180,109,3
180,132,4
180,200,4
180,241,3
181,225,1
183,59,2
184,55,1
184,75,1
184,95,1
184,199,4
184,211,1
184,226,1
184,258,1
184,260,1
185,10,3
185,59,4
185,118,4
185,143,4
185,149,3
185,154,4
188,197,4
188,203,2
189,57,1
189,198,4
189,214,1
189,227,4
197,188,4
197,203,2
198,189,2
198,227,4
199,75,2
199,203,1
199,215,2
200,39,1
200,105,3
200,109,1
200,132,1
200,180,3
200,241,4
200,324,1
201,139,4
203,75,1
203,188,3
203,197,3
203,199,1
203,215,2
203,225,3
211,226,4
211,260,4
211,306,4
214,57,2
214,163,2
214,215,1
215,57,4
215,75,2
215,163,4
215,199,2
215,214,4
215,226,1
218,107,2
218,111,1
218,132,1
224,26,4
224,47,2
224,168,4
224,249,4
224,284,4
225,199,4
225,203,4
226,95,3
226,184,3
226,211,4
226,260,4
226,306,4
227,56,1
227,189,4
227,198,4
231,275,2
235,55,4
235,198,1
235,258,4
239,6,3
239,8,3
239,74,3
239,172,4
239,246,4
239,250,3
241,39,1
241,132,1
241,200,3
241,324,2
246,6,4
246,8,4
246,159,4
246,172,4
246,239,4
249,26,4
249,224,4
250,6,4
250,8,4
250,74,4
250,201,4
254,6,4
254,19,4
254,74,3
254,79,2
254,80,4
254,88,1
254,93,4
254,116,1
254,159,1
254,250,3
256,142,1
256,183,3
256,279,1
256,280,2
258,55,3
258,56,4
258,57,3
258,184,2
258,214,3
258,227,4
258,235,4
258,311,3
258,314,3
260,184,2
260,211,3
260,226,4
262,163,1
275,231,2
279,26,3
279,52,1
279,65,3
279,142,4
279,143,3
279,148,1
279,177,1
279,256,3
279,288,3
280,44,1
280,118,2
280,148,2
280,226,2
280,231,3
280,256,2
280,279,1
284,168,4
284,169,4
284,224,4
288,10,4
288,65,4
288,142,4
288,279,4
288,306,2
292,295,4
292,303,4
292,309,4
292,322,3
292,326,3
293,309,4
293,311,4
295,39,2
295,303,4
298,303,2
298,314,3
298,316,2
298,317,1
300,95,3
300,302,4
300,314,1
300,316,3
301,203,2
301,225,2
302,300,4
303,39,2
303,295,4
303,298,4
303,309,3
303,314,3
303,322,1
303,324,4
303,326,1
306,211,4
306,226,4
306,260,4
309,292,4
309,293,4
309,295,4
309,324,4
310,298,2
310,300,4
310,303,2
310,306,4
310,314,4
310,322,4
310,324,2
310,326,2
311,293,4
311,314,2
311,316,1
314,300,1
314,303,4
314,306,4
314,311,1
314,315,4
315,292,2
315,295,2
315,298,1
315,303,2
315,306,1
315,314,3
315,316,4
315,326,2
316,298,3
316,315,4
316,317,4
317,316,4
322,292,3
322,295,2
322,303,1
322,306,1
322,310,4
322,316,1
322,326,4
324,39,1
324,295,1
324,303,4
326,292,4
326,295,1
326,300,1
326,303,1
326,315,1
326,316,2
326,322,4
