# source, target
0,21
0,77
0,109
0,180
0,242
0,268
2,0
2,10
2,53
2,109
2,143
2,222
2,265
9,25
9,63
10,76
10,124
10,130
10,143
10,149
10,154
10,179
10,194
11,153
11,208
11,247
11,272
12,55
12,113
12,184
12,258
16,19
16,30
16,126
16,181
16,201
16,222
16,237
17,43
17,72
17,103
17,107
19,16
19,30
19,181
21,0
21,60
21,77
21,98
21,109
21,242
21,264
21,268
23,247
25,9
25,48
25,63
27,37
27,50
27,91
27,147
27,158
29,143
29,222
29,256
30,16
30,19
30,126
30,181
30,201
30,222
30,237
31,45
31,116
31,167
31,201
32,70
32,81
32,82
32,126
32,202
32,203
32,237
36,167
36,254
37,27
37,44
37,46
37,50
37,91
37,128
37,132
37,147
37,158
43,0
43,17
43,72
43,77
43,98
43,103
43,105
43,107
43,109
43,132
43,143
43,165
43,180
43,200
43,264
43,268
44,37
44,46
44,50
44,91
44,147
44,158
45,31
45,116
45,176
46,37
46,44
46,101
46,147
46,158
47,168
47,284
48,36
48,97
48,123
48,167
48,178
48,207
48,208
48,247
48,283
50,27
50,37
50,44
50,46
50,91
50,147
50,158
51,139
51,179
51,181
53,0
53,2
53,10
53,29
53,68
53,109
53,130
53,143
53,222
53,265
55,12
55,13
55,75
55,113
55,161
55,184
55,211
55,215
55,226
55,227
55,235
55,258
55,260
56,227
57,13
57,215
59,183
60,0
60,21
60,77
60,242
60,264
60,268
63,9
63,25
63,306
68,124
68,149
68,154
70,32
70,81
70,82
70,109
72,17
72,43
72,98
72,107
72,132
74,172
74,254
75,12
75,13
75,95
75,184
75,215
75,226
75,235
75,260
76,10
76,60
76,143
76,194
76,264
77,0
77,21
77,43
77,60
77,105
77,109
77,180
77,200
77,226
77,242
77,264
77,268
80,93
80,167
80,254
81,70
81,82
82,70
82,81
82,202
83,203
85,97
85,128
85,259
88,179
88,248
91,27
91,37
91,44
91,50
91,124
91,147
91,158
93,80
93,167
93,254
95,123
95,153
95,211
95,226
95,235
95,260
95,282
97,85
97,196
97,227
98,21
98,43
98,72
98,105
98,109
98,132
98,242
101,111
103,17
103,107
103,132
105,43
105,60
105,72
105,77
105,98
105,180
105,200
105,264
105,268
107,17
107,43
107,72
107,103
107,132
109,0
109,21
109,60
109,70
109,77
109,82
109,154
109,180
109,200
109,242
109,264
111,101
111,121
111,204
113,12
113,55
113,184
113,211
113,226
113,258
116,31
116,45
116,88
116,176
116,179
121,111
121,204
123,48
123,95
123,207
123,208
123,238
123,247
123,282
124,9
124,10
124,44
124,68
124,130
124,143
124,149
124,154
126,16
126,30
126,237
128,37
128,85
128,259
130,10
130,17
130,46
130,143
130,147
132,43
132,72
132,98
132,103
132,107
133,285
139,16
139,30
139,51
139,126
139,179
139,181
139,202
139,237
143,2
143,10
143,29
143,53
143,68
143,76
143,124
143,130
143,149
143,154
143,194
143,222
143,265
147,27
147,37
147,44
147,46
147,50
147,91
147,128
147,130
147,154
147,158
149,10
149,44
149,68
149,124
149,130
149,143
149,154
153,11
153,95
153,203
153,247
153,272
154,10
154,68
154,109
154,124
154,143
154,149
154,158
158,27
158,37
158,44
158,46
158,50
158,91
158,147
158,154
161,32
161,211
161,226
161,260
161,306
165,174
165,191
165,256
167,31
167,36
167,48
167,80
167,93
167,201
167,254
168,47
168,284
172,74
172,239
174,165
174,191
176,19
176,45
176,116
178,83
178,188
178,197
178,203
179,10
179,45
179,51
179,88
179,116
179,139
179,158
179,176
179,181
180,0
180,43
180,77
180,105
180,109
180,200
180,264
180,268
181,16
181,19
181,30
181,32
181,51
181,139
181,179
181,202
183,59
183,256
184,55
184,113
184,226
184,258
184,260
188,83
188,178
188,197
188,203
191,165
191,174
191,226
194,10
194,76
194,143
196,198
196,227
197,83
197,178
197,188
197,203
198,196
198,227
200,43
200,105
200,109
200,180
200,264
201,16
201,30
201,31
201,51
201,74
201,139
201,202
202,32
202,82
202,126
202,139
202,181
202,237
203,32
203,75
203,83
203,188
203,197
204,111
204,121
207,48
207,161
207,208
207,238
207,247
207,248
207,282
207,283
208,48
208,95
208,123
208,161
208,178
208,207
208,238
208,247
208,248
208,283
211,226
211,260
211,306
215,55
215,75
215,161
215,211
215,226
215,258
215,260
222,2
222,16
222,29
222,30
222,53
222,143
226,77
226,95
226,161
226,184
226,191
226,211
226,215
226,260
226,264
226,306
227,196
227,198
235,75
235,95
237,16
237,30
237,126
238,48
238,95
238,123
238,161
238,207
238,208
238,247
238,282
238,283
239,74
239,172
242,0
242,19
242,21
242,60
242,77
242,98
242,109
242,264
242,268
247,48
247,123
247,207
247,208
247,282
248,203
248,283
254,31
254,36
254,74
254,80
254,93
254,167
256,21
256,29
256,165
256,183
256,242
258,12
258,55
258,161
258,184
258,211
258,215
258,226
258,235
258,260
259,85
259,128
260,95
260,211
260,226
260,306
264,0
264,21
264,43
264,60
264,77
264,98
264,105
264,109
264,180
264,200
264,242
264,268
264,314
265,2
265,109
268,0
268,21
268,43
268,60
268,77
268,105
268,109
268,180
268,200
268,242
268,264
272,11
272,153
272,247
282,95
282,123
282,207
282,208
282,238
282,247
283,207
283,248
284,47
284,168
285,133
285,317
298,215
298,314
298,320
306,161
306,211
306,226
306,260
306,314
306,320
314,215
314,298
314,306
314,320
317,285
320,215
320,298
320,306
320,314
320,322
320,326
322,320
322,326
326,320
326,322
